City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
481,Parana,AR,84.99,clear sky,-31.732,-60.5238,Howard Johnson Plaza Hotel Mayorazgo
488,Tshikapa,CD,72.0,scattered clouds,-6.4167,20.8,Hôtel Tshia-Muntu de Tshikapa
493,Lake City,US,77.0,scattered clouds,30.1897,-82.6393,Ramada Limited Lake City
495,Sao Joao Da Barra,BR,78.8,few clouds,-21.6403,-41.0511,Pousada Porto De Canoas
496,Pemangkat,ID,78.03,scattered clouds,1.1667,108.9667,Ramah Kost KITA
499,Basoko,CD,78.19,broken clouds,1.2391,23.616,Flat Hotel La Benediction
500,Vao,NC,75.2,heavy intensity rain,-22.6667,167.4833,Hotel Kou-Bugny
504,Vaitape,PF,81.88,light rain,-16.5167,-151.75,Conrad Bora Bora Nui
506,Kavali,IN,81.9,broken clouds,14.9167,79.9833,Lic B.M Quearter's
507,Dicabisagan,PH,77.34,broken clouds,17.0818,122.4157,Nancy Montanes Bernardo
516,Gat,IL,70.0,broken clouds,31.61,34.7642,OlusHome
526,Kupang,ID,74.41,broken clouds,-10.1667,123.5833,Hotel On The Rock by Prasanthi
529,Mayakonda,IN,77.83,broken clouds,14.2833,76.0833,ST Hostel
533,Carnarvon,AU,76.57,clear sky,-24.8667,113.6333,Hospitality Carnarvon
534,Usta Muhammad,PK,82.9,broken clouds,28.1794,68.0445,Teshseel Colony
536,Razole,IN,78.48,broken clouds,16.4833,81.8333,Sterling Palavelli Godavari
537,Cabedelo,BR,75.2,scattered clouds,-6.9811,-34.8339,Hotel Pigalle
540,Parati,BR,78.8,scattered clouds,-23.2178,-44.7131,Che Lagarto Paraty
542,Binga,ZW,71.15,scattered clouds,-17.6203,27.3414,Lakeview Inn Binga
544,Bontang,ID,75.07,broken clouds,0.1333,117.5,KOPKAR Hotel Bintang Sintuk
554,Nouakchott,MR,78.8,sand,18.0858,-15.9785,HOTEL IMAN فندق إيمان
560,Luwuk,ID,75.85,overcast clouds,-0.9516,122.7875,Hotel Santika Luwuk
562,Dillon,US,71.6,overcast clouds,34.4166,-79.3712,Dillon Express Inn
568,Doha,QA,80.6,clear sky,25.2867,51.5333,Movenpick Hotel Doha
575,Lorengau,PG,80.44,overcast clouds,-2.0226,147.2712,Lorengau Harbourside Hotel
578,San Juan,AR,83.14,clear sky,-31.5375,-68.5364,Hotel Provincial
580,Muli,MV,83.26,few clouds,2.9167,73.5667,Medhufushi Island Resort
582,Meulaboh,ID,79.39,overcast clouds,4.1363,96.1285,Kost Pria
584,Samana,DO,82.4,scattered clouds,19.2056,-69.3369,The Bannister - Hotel & Yacht Club
587,Nosy Varika,MG,76.64,overcast clouds,-20.5833,48.5333,Hotel Volazara
588,Amboasary,MG,78.8,few clouds,-25.0333,46.3833,DISCOVERY AMBOASARY
590,Pindwara,IN,80.08,few clouds,24.8,73.0667,Arbuda tour and travels
593,Matara,LK,79.5,broken clouds,5.9485,80.5353,Amaloh Boutique Resort
594,Nkayi,CG,75.97,overcast clouds,-4.1841,13.2884,Résidence privée du Maire NKAYI
602,Kapit,MY,72.21,broken clouds,2.0167,112.9333,Hotel Meligai Kapit
608,Miraflores,MX,77.0,broken clouds,19.2167,-98.8083,Hotel Mansión
612,Manado,ID,77.0,scattered clouds,1.4869999999999999,124.8455,Aryaduta Hotel
613,Hualmay,PE,72.3,overcast clouds,-11.0964,-77.6139,Hotel Villa Kitzia Huacho
623,Illapel,CL,80.22,clear sky,-31.6308,-71.1653,Hotel Londres
629,Grand Gaube,MU,80.01,light rain,-20.0064,57.6608,Veranda Paul et Virginie Hotel & Spa
631,Mana,GF,82.87,overcast clouds,5.6592,-53.7767,LE SAMANA
634,Nsanje,MW,77.92,overcast clouds,-16.92,35.262,Nsanje Discovery Lodge
636,Padilla,CO,82.4,broken clouds,3.2204,-76.3139,La Granadina
640,Rumonge,BI,72.59,light rain,-3.9736,29.4386,Kwetu Guest House
645,Pundaguitan,PH,81.41,light rain,6.3711,126.1689,Leonardo Family Beach House 1
646,Pyapon,MM,81.46,scattered clouds,16.2833,95.6833,Aung Naing Thu Motel
647,Welkom,ZA,73.33,few clouds,-27.9864,26.7066,Little Acorn Guest House
661,Nabire,ID,75.38,overcast clouds,-3.3667,135.4833,Hotel Nusantara Nabire
665,Manavalakurichi,IN,84.2,mist,8.1333,77.3,Udaya Boys Hostel
668,Diego De Almagro,CL,81.16,clear sky,-26.3667,-70.05,hotel luna del desierto
673,Kandrian,PG,76.26,light rain,-6.2167,149.55,Kandrian Station
675,Carauari,BR,84.13,overcast clouds,-4.8828,-66.8958,Hotel Fellip
676,Marsh Harbour,BS,73.89,clear sky,26.5412,-77.0636,Abaco Beach Resort
692,Buraydah,SA,80.6,clear sky,26.326,43.975,فندق راحة السلام
695,San-Pedro,CI,83.55,broken clouds,4.7485,-6.6363,Hotel Maria
700,Letlhakane,BW,73.65,clear sky,-21.4167,25.5833,Motswedi Hotel P650
703,Bambanglipuro,ID,76.28,broken clouds,-7.95,110.2833,Puri Brata
710,Saint-Pierre,RE,77.0,overcast clouds,-21.3393,55.4781,Lindsey Hôtel
711,Ponerihouen,NC,74.52,broken clouds,-21.0833,165.4,Camping de Tiakan
